State,Class,System,International Roughness Index,Value
Wyoming,Total (miles),Overall,,7173.70244
Wisconsin,Total (miles),Overall,,11129.22519
West Virginia,Total (miles),Overall,,10369.79506
Washington,Total (miles),Overall,,20076.64505
Virginia,Total (miles),Overall,,15180.44696
Vermont,Total (miles),Overall,,3830.85219
Utah,Total (miles),Overall,,9457.84936
Texas,Total (miles),Overall,,88738.07213
Tennessee,Total (miles),Overall,,5070.01226
South Dakota,Total (miles),Overall,,14512.21992
South Carolina,Total (miles),Overall,,20917.02332
Rhode Island,Total (miles),Overall,,1709.31215
Pennsylvania,Total (miles),Overall,,27962.99138
Oregon,Total (miles),Overall,,8370.12134
Oklahoma,Total (miles),Overall,,15249.24892
Ohio,Total (miles),Overall,,29706.95234
North Dakota,Total (miles),Overall,,13979.73632
North Carolina,Total (miles),Overall,,22980.94729
New York,Total (miles),Overall,,27390.02117
New Mexico,Total (miles),Overall,,12115.10607
New Jersey,Total (miles),Overall,,7708.48403
New Hampshire,Total (miles),Overall,,3547.18447
Nevada,Total (miles),Overall,,7502.03268
Nebraska,Total (miles),Overall,,10091.5206
Montana,Total (miles),Overall,,12685.09438
Missouri,Total (miles),Overall,,30665.36707
Mississippi,Total (miles),Overall,,21792.0849
Minnesota,Total (miles),Overall,,31323.74503
Michigan,Total (miles),Overall,,32953.82588
Massachusetts,Total (miles),Overall,,4800.18407
Maryland,Total (miles),Overall,,8154.45565
Maine,Total (miles),Overall,,6338.359
Louisiana,Total (miles),Overall,,13024.43741
Kentucky,Total (miles),Overall,,13328.31041
Kansas,Total (miles),Overall,,16516.96314
Iowa,Total (miles),Overall,,5060.22596
Indiana,Total (miles),Overall,,24259.69578
Illinois,Total (miles),Overall,,30904.12744
Idaho,Total (miles),Overall,,4118.32362
Hawaii,Total (miles),Overall,,1553.707
Georgia,Total (miles),Overall,,31759.25448
Florida,Total (miles),Overall,,26452.88214
District of Columbia,Total (miles),Overall,,433.58349
Delaware,Total (miles),Overall,,1583.46253
Connecticut,Total (miles),Overall,,6339.7145
Colorado,Total (miles),Overall,,16272.22412
California,Total (miles),Overall,,40443.96908
Arkansas,Total (miles),Overall,,6483.30082
Arizona,Total (miles),Overall,,15306.80049
Alaska,Total (miles),Overall,,3389.20672
Alabama,Total (miles),Overall,,26211.39871
United States,Total (miles),Overall,,828887.715
Wyoming,Acceptable (miles),Overall,,6793.62727
Wisconsin,Acceptable (miles),Overall,,9180.50069
West Virginia,Acceptable (miles),Overall,,7147.69052
Washington,Acceptable (miles),Overall,,14608.10025
Virginia,Acceptable (miles),Overall,,13056.35739
Vermont,Acceptable (miles),Overall,,3164.93332
Utah,Acceptable (miles),Overall,,7393.94612
Texas,Acceptable (miles),Overall,,69296.61521
Tennessee,Acceptable (miles),Overall,,4800.0871
South Dakota,Acceptable (miles),Overall,,12497.28996
South Carolina,Acceptable (miles),Overall,,17131.16401
Rhode Island,Acceptable (miles),Overall,,849.19907
Pennsylvania,Acceptable (miles),Overall,,20422.66585
Oregon,Acceptable (miles),Overall,,7524.50413
Oklahoma,Acceptable (miles),Overall,,14245.13466
Ohio,Acceptable (miles),Overall,,24830.51903
North Dakota,Acceptable (miles),Overall,,13149.74281
North Carolina,Acceptable (miles),Overall,,19864.85429
New York,Acceptable (miles),Overall,,20097.64056
New Mexico,Acceptable (miles),Overall,,8293.14193
New Jersey,Acceptable (miles),Overall,,4081.80411
New Hampshire,Acceptable (miles),Overall,,2849.56884
Nevada,Acceptable (miles),Overall,,6412.35047
Nebraska,Acceptable (miles),Overall,,8966.91289
Montana,Acceptable (miles),Overall,,11200.48521
Missouri,Acceptable (miles),Overall,,23088.87391
Mississippi,Acceptable (miles),Overall,,15951.73939
Minnesota,Acceptable (miles),Overall,,26337.42915
Michigan,Acceptable (miles),Overall,,25870.60033
Massachusetts,Acceptable (miles),Overall,,3606.20904
Maryland,Acceptable (miles),Overall,,5953.1251
Maine,Acceptable (miles),Overall,,4900.366
Louisiana,Acceptable (miles),Overall,,9780.75987
Kentucky,Acceptable (miles),Overall,,12006.64724
Kansas,Acceptable (miles),Overall,,14521.53308
Iowa,Acceptable (miles),Overall,,4657.65548
Indiana,Acceptable (miles),Overall,,18781.73655
Illinois,Acceptable (miles),Overall,,24685.6741
Idaho,Acceptable (miles),Overall,,3968.0258
Hawaii,Acceptable (miles),Overall,,889.48
Georgia,Acceptable (miles),Overall,,29499.4591
Florida,Acceptable (miles),Overall,,23047.03666
District of Columbia,Acceptable (miles),Overall,,31.37858
Delaware,Acceptable (miles),Overall,,1330.30596
Connecticut,Acceptable (miles),Overall,,4185.21478
Colorado,Acceptable (miles),Overall,,12655.84542
California,Acceptable (miles),Overall,,26223.91747
Arkansas,Acceptable (miles),Overall,,6050.76663
Arizona,Acceptable (miles),Overall,,12113.40914
Alaska,Acceptable (miles),Overall,,2811.89208
Alabama,Acceptable (miles),Overall,,23249.92244
United States,Acceptable (miles),Overall,,664529.5739
Wyoming,Percent Acceptable,Overall,,0.947018269
Wisconsin,Percent Acceptable,Overall,,0.824900254
West Virginia,Percent Acceptable,Overall,,0.689279825
Washington,Percent Acceptable,Overall,,0.727616602
Virginia,Percent Acceptable,Overall,,0.860077271
Vermont,Percent Acceptable,Overall,,0.826169521
Utah,Percent Acceptable,Overall,,0.7817788
Texas,Percent Acceptable,Overall,,0.780911885
Tennessee,Percent Acceptable,Overall,,0.946760452
South Dakota,Percent Acceptable,Overall,,0.861156324
South Carolina,Percent Acceptable,Overall,,0.819005828
Rhode Island,Percent Acceptable,Overall,,0.496807485
Pennsylvania,Percent Acceptable,Overall,,0.730346248
Oregon,Percent Acceptable,Overall,,0.898971929
Oklahoma,Percent Acceptable,Overall,,0.934153199
Ohio,Percent Acceptable,Overall,,0.835848752
North Dakota,Percent Acceptable,Overall,,0.940628815
North Carolina,Percent Acceptable,Overall,,0.864405372
New York,Percent Acceptable,Overall,,0.733757759
New Mexico,Percent Acceptable,Overall,,0.68452904
New Jersey,Percent Acceptable,Overall,,0.529520992
New Hampshire,Percent Acceptable,Overall,,0.803332577
Nevada,Percent Acceptable,Overall,,0.854748405
Nebraska,Percent Acceptable,Overall,,0.888559142
Montana,Percent Acceptable,Overall,,0.882964279
Missouri,Percent Acceptable,Overall,,0.75292997
Mississippi,Percent Acceptable,Overall,,0.731996937
Minnesota,Percent Acceptable,Overall,,0.840813547
Michigan,Percent Acceptable,Overall,,0.785056049
Massachusetts,Percent Acceptable,Overall,,0.751264741
Maryland,Percent Acceptable,Overall,,0.730045678
Maine,Percent Acceptable,Overall,,0.773128502
Louisiana,Percent Acceptable,Overall,,0.750954499
Kentucky,Percent Acceptable,Overall,,0.900837906
Kansas,Percent Acceptable,Overall,,0.879189047
Iowa,Percent Acceptable,Overall,,0.920444169
Indiana,Percent Acceptable,Overall,,0.774195057
Illinois,Percent Acceptable,Overall,,0.798782433
Idaho,Percent Acceptable,Overall,,0.963505097
Hawaii,Percent Acceptable,Overall,,0.572488893
Georgia,Percent Acceptable,Overall,,0.928846082
Florida,Percent Acceptable,Overall,,0.871248605
District of Columbia,Percent Acceptable,Overall,,0.072370329
Delaware,Percent Acceptable,Overall,,0.840124685
Connecticut,Percent Acceptable,Overall,,0.660158242
Colorado,Percent Acceptable,Overall,,0.777757566
California,Percent Acceptable,Overall,,0.648401185
Arkansas,Percent Acceptable,Overall,,0.93328488
Arizona,Percent Acceptable,Overall,,0.79137434
Alaska,Percent Acceptable,Overall,,0.829660836
Alabama,Percent Acceptable,Overall,,0.88701571
United States,Percent Acceptable,Overall,,0.801712418
Wyoming,Urban (miles),Other principal arterials,More than 220,17.627
Wisconsin,Urban (miles),Other principal arterials,More than 220,321.28
West Virginia,Urban (miles),Other principal arterials,More than 220,33.171
Washington,Urban (miles),Other principal arterials,More than 220,246.295
Virginia,Urban (miles),Other principal arterials,More than 220,81.602
Vermont,Urban (miles),Other principal arterials,More than 220,6.943
Utah,Urban (miles),Other principal arterials,More than 220,20.149
Texas,Urban (miles),Other principal arterials,More than 220,859.77
Tennessee,Urban (miles),Other principal arterials,More than 220,85.24
South Dakota,Urban (miles),Other principal arterials,More than 220,8.47
South Carolina,Urban (miles),Other principal arterials,More than 220,56.028
Rhode Island,Urban (miles),Other principal arterials,More than 220,102.348
Pennsylvania,Urban (miles),Other principal arterials,More than 220,381.575
Oregon,Urban (miles),Other principal arterials,More than 220,58.16
Oklahoma,Urban (miles),Other principal arterials,More than 220,69.087
Ohio,Urban (miles),Other principal arterials,More than 220,404.346
North Dakota,Urban (miles),Other principal arterials,More than 220,19.167
North Carolina,Urban (miles),Other principal arterials,More than 220,94.274
New York,Urban (miles),Other principal arterials,More than 220,714.35
New Mexico,Urban (miles),Other principal arterials,More than 220,98.019
New Jersey,Urban (miles),Other principal arterials,More than 220,416.14
New Hampshire,Urban (miles),Other principal arterials,More than 220,18.722
Nevada,Urban (miles),Other principal arterials,More than 220,18.026
Nebraska,Urban (miles),Other principal arterials,More than 220,88.66
Montana,Urban (miles),Other principal arterials,More than 220,37.242
Missouri,Urban (miles),Other principal arterials,More than 220,75.485
Mississippi,Urban (miles),Other principal arterials,More than 220,97.777
Minnesota,Urban (miles),Other principal arterials,More than 220,27.743
Michigan,Urban (miles),Other principal arterials,More than 220,397.467
Massachusetts,Urban (miles),Other principal arterials,More than 220,464.558
Maryland,Urban (miles),Other principal arterials,More than 220,165.511
Maine,Urban (miles),Other principal arterials,More than 220,15.49
Louisiana,Urban (miles),Other principal arterials,More than 220,134.077
Kentucky,Urban (miles),Other principal arterials,More than 220,27.603
Kansas,Urban (miles),Other principal arterials,More than 220,20.749
Iowa,Urban (miles),Other principal arterials,More than 220,93.332
Indiana,Urban (miles),Other principal arterials,More than 220,122.417
Illinois,Urban (miles),Other principal arterials,More than 220,322.13
Idaho,Urban (miles),Other principal arterials,More than 220,15.038
Hawaii,Urban (miles),Other principal arterials,More than 220,49.254
Georgia,Urban (miles),Other principal arterials,More than 220,39.649
Florida,Urban (miles),Other principal arterials,More than 220,76.124
District of Columbia,Urban (miles),Other principal arterials,More than 220,80.912
Delaware,Urban (miles),Other principal arterials,More than 220,12.36
Connecticut,Urban (miles),Other principal arterials,More than 220,80.51
Colorado,Urban (miles),Other principal arterials,More than 220,127.143
California,Urban (miles),Other principal arterials,More than 220,1908.991
Arkansas,Urban (miles),Other principal arterials,More than 220,40.386
Arizona,Urban (miles),Other principal arterials,More than 220,34.733
Alaska,Urban (miles),Other principal arterials,More than 220,5.156
Alabama,Urban (miles),Other principal arterials,More than 220,51.692
United States,Urban (miles),Other principal arterials,More than 220,8909.647
Wyoming,Urban (miles),Other principal arterials,195-220,9.2
Wisconsin,Urban (miles),Other principal arterials,195-220,166.142
West Virginia,Urban (miles),Other principal arterials,195-220,10.859
Washington,Urban (miles),Other principal arterials,195-220,94.345
Virginia,Urban (miles),Other principal arterials,195-220,70.79
Vermont,Urban (miles),Other principal arterials,195-220,2.371
Utah,Urban (miles),Other principal arterials,195-220,13.808
Texas,Urban (miles),Other principal arterials,195-220,346.155
Tennessee,Urban (miles),Other principal arterials,195-220,44.389
South Dakota,Urban (miles),Other principal arterials,195-220,9.005
South Carolina,Urban (miles),Other principal arterials,195-220,36.82
Rhode Island,Urban (miles),Other principal arterials,195-220,37.071
Pennsylvania,Urban (miles),Other principal arterials,195-220,155.179
Oregon,Urban (miles),Other principal arterials,195-220,33.17
Oklahoma,Urban (miles),Other principal arterials,195-220,36.918
Ohio,Urban (miles),Other principal arterials,195-220,136.249
North Dakota,Urban (miles),Other principal arterials,195-220,9.739
North Carolina,Urban (miles),Other principal arterials,195-220,55.109
New York,Urban (miles),Other principal arterials,195-220,201.49
New Mexico,Urban (miles),Other principal arterials,195-220,37.315
New Jersey,Urban (miles),Other principal arterials,195-220,140.48
New Hampshire,Urban (miles),Other principal arterials,195-220,5.317
Nevada,Urban (miles),Other principal arterials,195-220,9.2
Nebraska,Urban (miles),Other principal arterials,195-220,27.29
Montana,Urban (miles),Other principal arterials,195-220,14.505
Missouri,Urban (miles),Other principal arterials,195-220,34.186
Mississippi,Urban (miles),Other principal arterials,195-220,38.137
Minnesota,Urban (miles),Other principal arterials,195-220,12.942
Michigan,Urban (miles),Other principal arterials,195-220,164.137
Massachusetts,Urban (miles),Other principal arterials,195-220,163.018
Maryland,Urban (miles),Other principal arterials,195-220,50.509
Maine,Urban (miles),Other principal arterials,195-220,6.05
Louisiana,Urban (miles),Other principal arterials,195-220,60.531
Kentucky,Urban (miles),Other principal arterials,195-220,16.449
Kansas,Urban (miles),Other principal arterials,195-220,12.075
Iowa,Urban (miles),Other principal arterials,195-220,43.287
Indiana,Urban (miles),Other principal arterials,195-220,79.733
Illinois,Urban (miles),Other principal arterials,195-220,158.81
Idaho,Urban (miles),Other principal arterials,195-220,9.498
Hawaii,Urban (miles),Other principal arterials,195-220,15.846
Georgia,Urban (miles),Other principal arterials,195-220,28.51
Florida,Urban (miles),Other principal arterials,195-220,50.996
District of Columbia,Urban (miles),Other principal arterials,195-220,8.714
Delaware,Urban (miles),Other principal arterials,195-220,5.75
Connecticut,Urban (miles),Other principal arterials,195-220,39.94
Colorado,Urban (miles),Other principal arterials,195-220,63.702
California,Urban (miles),Other principal arterials,195-220,643.935
Arkansas,Urban (miles),Other principal arterials,195-220,25.605
Arizona,Urban (miles),Other principal arterials,195-220,35.487
Alaska,Urban (miles),Other principal arterials,195-220,2.785
Alabama,Urban (miles),Other principal arterials,195-220,18.113
United States,Urban (miles),Other principal arterials,195-220,3538.222
Wyoming,Urban (miles),Other principal arterials,171-194,9.657
Wisconsin,Urban (miles),Other principal arterials,171-194,218.697
West Virginia,Urban (miles),Other principal arterials,171-194,15.064
Washington,Urban (miles),Other principal arterials,171-194,120.431
Virginia,Urban (miles),Other principal arterials,171-194,101.293
Vermont,Urban (miles),Other principal arterials,171-194,4.492
Utah,Urban (miles),Other principal arterials,171-194,21.282
Texas,Urban (miles),Other principal arterials,171-194,416.058
Tennessee,Urban (miles),Other principal arterials,171-194,62.198
South Dakota,Urban (miles),Other principal arterials,171-194,14.884
South Carolina,Urban (miles),Other principal arterials,171-194,58.43
Rhode Island,Urban (miles),Other principal arterials,171-194,40.915
Pennsylvania,Urban (miles),Other principal arterials,171-194,222.058
Oregon,Urban (miles),Other principal arterials,171-194,51.07
Oklahoma,Urban (miles),Other principal arterials,171-194,46.261
Ohio,Urban (miles),Other principal arterials,171-194,169.311
North Dakota,Urban (miles),Other principal arterials,171-194,13.101
North Carolina,Urban (miles),Other principal arterials,171-194,86.772
New York,Urban (miles),Other principal arterials,171-194,224.07
New Mexico,Urban (miles),Other principal arterials,171-194,49.853
New Jersey,Urban (miles),Other principal arterials,171-194,149.46
New Hampshire,Urban (miles),Other principal arterials,171-194,7.849
Nevada,Urban (miles),Other principal arterials,171-194,14.142
Nebraska,Urban (miles),Other principal arterials,171-194,28.83
Montana,Urban (miles),Other principal arterials,171-194,15.283
Missouri,Urban (miles),Other principal arterials,171-194,47.737
Mississippi,Urban (miles),Other principal arterials,171-194,51.237
Minnesota,Urban (miles),Other principal arterials,171-194,18.02
Michigan,Urban (miles),Other principal arterials,171-194,207.045
Massachusetts,Urban (miles),Other principal arterials,171-194,197.283
Maryland,Urban (miles),Other principal arterials,171-194,59.427
Maine,Urban (miles),Other principal arterials,171-194,9.23
Louisiana,Urban (miles),Other principal arterials,171-194,69.052
Kentucky,Urban (miles),Other principal arterials,171-194,24.136
Kansas,Urban (miles),Other principal arterials,171-194,14.862
Iowa,Urban (miles),Other principal arterials,171-194,57.204
Indiana,Urban (miles),Other principal arterials,171-194,104.224
Illinois,Urban (miles),Other principal arterials,171-194,209.38
Idaho,Urban (miles),Other principal arterials,171-194,10.891
Hawaii,Urban (miles),Other principal arterials,171-194,23.165
Georgia,Urban (miles),Other principal arterials,171-194,46.445
Florida,Urban (miles),Other principal arterials,171-194,87.167
District of Columbia,Urban (miles),Other principal arterials,171-194,6.228
Delaware,Urban (miles),Other principal arterials,171-194,9.34
Connecticut,Urban (miles),Other principal arterials,171-194,60.25
Colorado,Urban (miles),Other principal arterials,171-194,80.442
California,Urban (miles),Other principal arterials,171-194,690.414
Arkansas,Urban (miles),Other principal arterials,171-194,33.794
Arizona,Urban (miles),Other principal arterials,171-194,50.526
Alaska,Urban (miles),Other principal arterials,171-194,4.359
Alabama,Urban (miles),Other principal arterials,171-194,23.779
United States,Urban (miles),Other principal arterials,171-194,4407.558
Wyoming,Urban (miles),Other principal arterials,145-170,15.598
Wisconsin,Urban (miles),Other principal arterials,145-170,294.488
West Virginia,Urban (miles),Other principal arterials,145-170,28.231
Washington,Urban (miles),Other principal arterials,145-170,171.48
Virginia,Urban (miles),Other principal arterials,145-170,161.437
Vermont,Urban (miles),Other principal arterials,145-170,8.731
Utah,Urban (miles),Other principal arterials,145-170,43.016
Texas,Urban (miles),Other principal arterials,145-170,576.527
Tennessee,Urban (miles),Other principal arterials,145-170,94.246
South Dakota,Urban (miles),Other principal arterials,145-170,16.512
South Carolina,Urban (miles),Other principal arterials,145-170,107.879
Rhode Island,Urban (miles),Other principal arterials,145-170,49.429
Pennsylvania,Urban (miles),Other principal arterials,145-170,336.583
Oregon,Urban (miles),Other principal arterials,145-170,80.77
Oklahoma,Urban (miles),Other principal arterials,145-170,71.092
Ohio,Urban (miles),Other principal arterials,145-170,235.32
North Dakota,Urban (miles),Other principal arterials,145-170,17.482
North Carolina,Urban (miles),Other principal arterials,145-170,159.208
New York,Urban (miles),Other principal arterials,145-170,304.41
New Mexico,Urban (miles),Other principal arterials,145-170,75.355
New Jersey,Urban (miles),Other principal arterials,145-170,180.84
New Hampshire,Urban (miles),Other principal arterials,145-170,13.105
Nevada,Urban (miles),Other principal arterials,145-170,28.337
Nebraska,Urban (miles),Other principal arterials,145-170,38.22
Montana,Urban (miles),Other principal arterials,145-170,24.081
Missouri,Urban (miles),Other principal arterials,145-170,75.065
Mississippi,Urban (miles),Other principal arterials,145-170,76.051
Minnesota,Urban (miles),Other principal arterials,145-170,31.973
Michigan,Urban (miles),Other principal arterials,145-170,275.179
Massachusetts,Urban (miles),Other principal arterials,145-170,269.322
Maryland,Urban (miles),Other principal arterials,145-170,73.864
Maine,Urban (miles),Other principal arterials,145-170,13.8
Louisiana,Urban (miles),Other principal arterials,145-170,90.099
Kentucky,Urban (miles),Other principal arterials,145-170,40.658
Kansas,Urban (miles),Other principal arterials,145-170,26.649
Iowa,Urban (miles),Other principal arterials,145-170,88.211
Indiana,Urban (miles),Other principal arterials,145-170,166.439
Illinois,Urban (miles),Other principal arterials,145-170,320.41
Idaho,Urban (miles),Other principal arterials,145-170,20.26
Hawaii,Urban (miles),Other principal arterials,145-170,31.853
Georgia,Urban (miles),Other principal arterials,145-170,86.745
Florida,Urban (miles),Other principal arterials,145-170,169.938
District of Columbia,Urban (miles),Other principal arterials,145-170,5.672
Delaware,Urban (miles),Other principal arterials,145-170,13.43
Connecticut,Urban (miles),Other principal arterials,145-170,87.35
Colorado,Urban (miles),Other principal arterials,145-170,122.453
California,Urban (miles),Other principal arterials,145-170,813.714
Arkansas,Urban (miles),Other principal arterials,145-170,62.825
Arizona,Urban (miles),Other principal arterials,145-170,78.366
Alaska,Urban (miles),Other principal arterials,145-170,9.676
Alabama,Urban (miles),Other principal arterials,145-170,38.604
United States,Urban (miles),Other principal arterials,145-170,6275.914
Wyoming,Urban (miles),Other principal arterials,120-144,20.566
Wisconsin,Urban (miles),Other principal arterials,120-144,337.882
West Virginia,Urban (miles),Other principal arterials,120-144,41.016
Washington,Urban (miles),Other principal arterials,120-144,214.783
Virginia,Urban (miles),Other principal arterials,120-144,221.622
Vermont,Urban (miles),Other principal arterials,120-144,13.399
Utah,Urban (miles),Other principal arterials,120-144,68.374
Texas,Urban (miles),Other principal arterials,120-144,756.726
Tennessee,Urban (miles),Other principal arterials,120-144,156.938
South Dakota,Urban (miles),Other principal arterials,120-144,17.414
South Carolina,Urban (miles),Other principal arterials,120-144,167.399
Rhode Island,Urban (miles),Other principal arterials,120-144,42.936
Pennsylvania,Urban (miles),Other principal arterials,120-144,422.497
Oregon,Urban (miles),Other principal arterials,120-144,116.349
Oklahoma,Urban (miles),Other principal arterials,120-144,96.43
Ohio,Urban (miles),Other principal arterials,120-144,291.625
North Dakota,Urban (miles),Other principal arterials,120-144,28.227
North Carolina,Urban (miles),Other principal arterials,120-144,267.364
New York,Urban (miles),Other principal arterials,120-144,377.79
New Mexico,Urban (miles),Other principal arterials,120-144,86.108
New Jersey,Urban (miles),Other principal arterials,120-144,200.1
New Hampshire,Urban (miles),Other principal arterials,120-144,17.428
Nevada,Urban (miles),Other principal arterials,120-144,41.971
Nebraska,Urban (miles),Other principal arterials,120-144,35.79
Montana,Urban (miles),Other principal arterials,120-144,33.171
Missouri,Urban (miles),Other principal arterials,120-144,95.332
Mississippi,Urban (miles),Other principal arterials,120-144,106.22
Minnesota,Urban (miles),Other principal arterials,120-144,52.595
Michigan,Urban (miles),Other principal arterials,120-144,328.203
Massachusetts,Urban (miles),Other principal arterials,120-144,270.151
Maryland,Urban (miles),Other principal arterials,120-144,96.544
Maine,Urban (miles),Other principal arterials,120-144,16.89
Louisiana,Urban (miles),Other principal arterials,120-144,102.753
Kentucky,Urban (miles),Other principal arterials,120-144,65.644
Kansas,Urban (miles),Other principal arterials,120-144,34.045
Iowa,Urban (miles),Other principal arterials,120-144,127.456
Indiana,Urban (miles),Other principal arterials,120-144,234.99
Illinois,Urban (miles),Other principal arterials,120-144,433.94
Idaho,Urban (miles),Other principal arterials,120-144,24.137
Hawaii,Urban (miles),Other principal arterials,120-144,37.29
Georgia,Urban (miles),Other principal arterials,120-144,162.872
Florida,Urban (miles),Other principal arterials,120-144,300.242
District of Columbia,Urban (miles),Other principal arterials,120-144,2.058
Delaware,Urban (miles),Other principal arterials,120-144,21.11
Connecticut,Urban (miles),Other principal arterials,120-144,116.61
Colorado,Urban (miles),Other principal arterials,120-144,159.684
California,Urban (miles),Other principal arterials,120-144,774.369
Arkansas,Urban (miles),Other principal arterials,120-144,79.261
Arizona,Urban (miles),Other principal arterials,120-144,100.717
Alaska,Urban (miles),Other principal arterials,120-144,14.632
Alabama,Urban (miles),Other principal arterials,120-144,65.97
United States,Urban (miles),Other principal arterials,120-144,7940.271
Wyoming,Urban (miles),Other principal arterials,95-119,35.319
Wisconsin,Urban (miles),Other principal arterials,95-119,286.187
West Virginia,Urban (miles),Other principal arterials,95-119,68.632
Washington,Urban (miles),Other principal arterials,95-119,238.992
Virginia,Urban (miles),Other principal arterials,95-119,288.837
Vermont,Urban (miles),Other principal arterials,95-119,21.693
Utah,Urban (miles),Other principal arterials,95-119,117.942
Texas,Urban (miles),Other principal arterials,95-119,976.245
Tennessee,Urban (miles),Other principal arterials,95-119,240.497
South Dakota,Urban (miles),Other principal arterials,95-119,23.065
South Carolina,Urban (miles),Other principal arterials,95-119,232.896
Rhode Island,Urban (miles),Other principal arterials,95-119,31.148
Pennsylvania,Urban (miles),Other principal arterials,95-119,498.485
Oregon,Urban (miles),Other principal arterials,95-119,161.25
Oklahoma,Urban (miles),Other principal arterials,95-119,137.454
Ohio,Urban (miles),Other principal arterials,95-119,371.679
North Dakota,Urban (miles),Other principal arterials,95-119,35.963
North Carolina,Urban (miles),Other principal arterials,95-119,416.907
New York,Urban (miles),Other principal arterials,95-119,484.43
New Mexico,Urban (miles),Other principal arterials,95-119,106.943
New Jersey,Urban (miles),Other principal arterials,95-119,216.52
New Hampshire,Urban (miles),Other principal arterials,95-119,29.527
Nevada,Urban (miles),Other principal arterials,95-119,51.546
Nebraska,Urban (miles),Other principal arterials,95-119,37.55
Montana,Urban (miles),Other principal arterials,95-119,40.39
Missouri,Urban (miles),Other principal arterials,95-119,135.566
Mississippi,Urban (miles),Other principal arterials,95-119,159.74
Minnesota,Urban (miles),Other principal arterials,95-119,96.887
Michigan,Urban (miles),Other principal arterials,95-119,393.23
Massachusetts,Urban (miles),Other principal arterials,95-119,268.549
Maryland,Urban (miles),Other principal arterials,95-119,133.258
Maine,Urban (miles),Other principal arterials,95-119,21.63
Louisiana,Urban (miles),Other principal arterials,95-119,127.375
Kentucky,Urban (miles),Other principal arterials,95-119,111.809
Kansas,Urban (miles),Other principal arterials,95-119,42.291
Iowa,Urban (miles),Other principal arterials,95-119,178.999
Indiana,Urban (miles),Other principal arterials,95-119,325.03
Illinois,Urban (miles),Other principal arterials,95-119,557.84
Idaho,Urban (miles),Other principal arterials,95-119,38.319
Hawaii,Urban (miles),Other principal arterials,95-119,38.759
Georgia,Urban (miles),Other principal arterials,95-119,366.224
Florida,Urban (miles),Other principal arterials,95-119,605.312
District of Columbia,Urban (miles),Other principal arterials,95-119,0.176
Delaware,Urban (miles),Other principal arterials,95-119,38.89
Connecticut,Urban (miles),Other principal arterials,95-119,152.53
Colorado,Urban (miles),Other principal arterials,95-119,196.014
California,Urban (miles),Other principal arterials,95-119,630.945
Arkansas,Urban (miles),Other principal arterials,95-119,122.16
Arizona,Urban (miles),Other principal arterials,95-119,125.382
Alaska,Urban (miles),Other principal arterials,95-119,27.804
Alabama,Urban (miles),Other principal arterials,95-119,129.716
United States,Urban (miles),Other principal arterials,95-119,10195.14
Wyoming,Urban (miles),Other principal arterials,60-94,71.97
Wisconsin,Urban (miles),Other principal arterials,60-94,239.228
West Virginia,Urban (miles),Other principal arterials,60-94,132.427
Washington,Urban (miles),Other principal arterials,60-94,268.216
Virginia,Urban (miles),Other principal arterials,60-94,368.704
Vermont,Urban (miles),Other principal arterials,60-94,43.688
Utah,Urban (miles),Other principal arterials,60-94,248.57
Texas,Urban (miles),Other principal arterials,60-94,1556.777
Tennessee,Urban (miles),Other principal arterials,60-94,639.635
South Dakota,Urban (miles),Other principal arterials,60-94,30.093
South Carolina,Urban (miles),Other principal arterials,60-94,327.832
Rhode Island,Urban (miles),Other principal arterials,60-94,20.644
Pennsylvania,Urban (miles),Other principal arterials,60-94,648.587
Oregon,Urban (miles),Other principal arterials,60-94,252.101
Oklahoma,Urban (miles),Other principal arterials,60-94,217.016
Ohio,Urban (miles),Other principal arterials,60-94,618.341
North Dakota,Urban (miles),Other principal arterials,60-94,53.579
North Carolina,Urban (miles),Other principal arterials,60-94,625.996
New York,Urban (miles),Other principal arterials,60-94,660.9
New Mexico,Urban (miles),Other principal arterials,60-94,162.551
New Jersey,Urban (miles),Other principal arterials,60-94,374.23
New Hampshire,Urban (miles),Other principal arterials,60-94,67.68
Nevada,Urban (miles),Other principal arterials,60-94,99.095
Nebraska,Urban (miles),Other principal arterials,60-94,44.24
Montana,Urban (miles),Other principal arterials,60-94,64.352
Missouri,Urban (miles),Other principal arterials,60-94,271.6
Mississippi,Urban (miles),Other principal arterials,60-94,282.592
Minnesota,Urban (miles),Other principal arterials,60-94,219.967
Michigan,Urban (miles),Other principal arterials,60-94,440.202
Massachusetts,Urban (miles),Other principal arterials,60-94,263.595
Maryland,Urban (miles),Other principal arterials,60-94,277.697
Maine,Urban (miles),Other principal arterials,60-94,30.96
Louisiana,Urban (miles),Other principal arterials,60-94,187.414
Kentucky,Urban (miles),Other principal arterials,60-94,240.685
Kansas,Urban (miles),Other principal arterials,60-94,81.912
Iowa,Urban (miles),Other principal arterials,60-94,208.638
Indiana,Urban (miles),Other principal arterials,60-94,532.301
Illinois,Urban (miles),Other principal arterials,60-94,722.24
Idaho,Urban (miles),Other principal arterials,60-94,75.818
Hawaii,Urban (miles),Other principal arterials,60-94,48.456
Georgia,Urban (miles),Other principal arterials,60-94,1020.091
Florida,Urban (miles),Other principal arterials,60-94,1619.474
District of Columbia,Urban (miles),Other principal arterials,60-94,0.067
Delaware,Urban (miles),Other principal arterials,60-94,85.81
